SKU,Name_Eng,Name_Thai,Category,Product_Code,Unit,Price
SKU-CK001,Butter Cake STR Jam ,บัตเตอร์เค้ก หน้าแยมสตรอเบอร์รี่ ,Butter,CK-BTC-SJ-SS-P,ปอนด์,350
SKU-CK002,Butter Cake BLU Jam ,บัตเตอร์เค้ก หน้าแยมบลูเบอร์รี่ ,Butter,CK-BTC-BJ-BB-P,ปอนด์,350
SKU-CK003,Butter Cake MIX Jam ,บัตเตอร์เค้ก หน้าแยมบลู สตรอ ,Butter,CK-BTC-SJ-SJ-P,ปอนด์,350
SKU-CK004,Butter STR Fruit Half ,บัตเตอร์เค้ก สตรอเบอร์รี่ เพิ่มผลไม้สด ครึ่งหน้าเค้ก ,Butter,CK-BTC-SJ-FH-P,ปอนด์,350
SKU-CK005,Butter BLU Fruit Half ,บัตเตอร์เค้ก บลูเบอร์รี่ เพิ่มผลไม้สด ครึ่งหน้าเค้ก ,Butter,CK-BTC-BJ-FH-P,ปอนด์,350
SKU-CK006,Butter STR Fruit Full ,บัตเตอร์เค้ก สตรอเบอร์รี่ เพิ่มผลไม้สด เต็มหน้าเค้ก ,Butter,CK-BTC-SJ-FF-P,ปอนด์,350
SKU-CK007,Butter BLU Fruit Full ,บัตเตอร์เค้ก บลูเบอร์รี่ เพิ่มผลไม้สด เต็มหน้าเค้ก ,Butter,CK-BTC-BJ-FF-P,ปอนด์,350
SKU-CK008,Butter STR Jam ชิ้น,บัตเตอร์เค้ก หน้าแยมสตรอเบอร์รี่ ชิ้น,Butter,CK-BTC-SJ-SS-E,ชิ้น,350
SKU-CK009,Butter BLU Jam ชิ้น,บัตเตอร์เค้ก หน้าแยมบลูเบอร์รี่ ชิ้น,Butter,CK-BTC-BJ-BB-E,ชิ้น,350
SKU-CK010,Butter Minimal STR ,บัตเตอร์เค้ก มินิมอล แยมสตรอเบอร์รี่ ,Butter,CK-BTC-SJ-SS-H,ครึ่งปอนด์,350
SKU-CK011,Butter Minimal BLU ,บัตเตอร์เค้ก มินิมอล แยมบลูเบอร์รี่ ,Butter,CK-BTC-BJ-BB-H,ครึ่งปอนด์,350
SKU-CK012,Butter Mix 8pcs,บัตเตอร์เค้ก รวมชิ้น (รวม 8 ชิ้น),Butter,CK-BTC-BC-E8-E,ชิ้น,350
SKU-CK013,Butter Mix 10pcs,บัตเตอร์เค้ก รวมชิ้น (รวม 10 ชิ้น),Butter,CK-BTC-BC-10-E,ชิ้น,350
SKU-CK014,Fudge Choc ชิ้น,ช็อกโกแลตฟัดจ์ ชิ้น,Chiffon,CK-CFD-C-FE-E,ชิ้น,350
SKU-CK015,Fudge Choc Almond ,ช็อกโกแลตฟัดจ์ หน้าอัลมอนด์สไลด์ ,Chiffon,CK-CFD-CF-NA-P,ปอนด์,350
SKU-CK016,Fudge Choc Fruit Half ,ช็อกโกแลตฟัดจ์ เพิ่มผลไม้สด ครึ่งหน้าเค้ก ,Chiffon,CK-CFD-CF-FH-P,ปอนด์,350
SKU-CK017,Fudge Choc Fruit Full ,ช็อกโกแลตฟัดจ์ เพิ่มผลไม้สด เต็มหน้าเค้ก ,Chiffon,CK-CFD-CF-FF-P,ปอนด์,350
SKU-CK018,Fudge Choc STR Jam ,ช็อกโกแลตฟัดจ์ เพิ่มหน้าแยมสตรอเบอร์รี่ ,Chiffon,CK-CFD-CF-SS-P,ปอนด์,350
SKU-CK019,Chiffon Orange ชิ้น,ชิฟฟ่อนเค้กส้ม ชิ้น,Chiffon,CK-CFO-OJ-FE-E,ชิ้น,350
SKU-CK020,Chiffon Orange Fruit Half ,ชิฟฟ่อนเค้กส้ม เพิ่มผลไม้สด ครึ่งหน้าเค้ก ,Chiffon,CK-CFO-OJ-FH-P,ปอนด์,350
SKU-CK021,Chiffon Orange Fruit Full ,ชิฟฟ่อนเค้กส้ม เพิ่มผลไม้สด เต็มหน้าเค้ก ,Chiffon,CK-CFO-OJ-FF-P,ปอนด์,350
SKU-CK022,Chiffon Coconut ชิ้น,ชิฟฟ่อนเค้กมะพร้าว ชิ้น,Chiffon,CK-CFC-WC-FE-E,ชิ้น,350
SKU-CK023,Chiffon Coconut Fruit Half ,ชิฟฟ่อนเค้กมะพร้าว เพิ่มผลไม้สด ครึ่งหน้าเค้ก ,Chiffon,CK-CFC-WC-FH-P,ปอนด์,350
